Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.91104859,86.63511637,82.52558184,79.65026354,79.93358865,74.40032444,70.49752691,64.92086331,63.10116086,65.07896716,68.55225312,65.85253456,66.16107669,67.7045177,63.78269618,61.0422996,67.81332165,65.24134891,76.54831163,78.27550385,72.85295945,71.82038849,72.54866459,73.79939714,,,
Africa Eastern and Southern,AFE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.14758926,21.84005628,23.07128401,23.09114579,24.12485647,24.79522553,25.95323657,25.14211546,25.2317331,25.15942196,25.99315949,27.15126875,28.37746678,26.11547225,26.18980674,28.01736809,29.9410344,32.27030755,35.83003622,27.98740423,29.8575457,31.74995588,30.24673629,29.41497239,28.3886727,23.89138163,23.68584144,23.57656531,25.5064511,24.13701272,22.62032954,
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,4.132233215,4.453443266,4.87805112,9.171601094,8.888892562,11.25827913,8.571428776,6.772908423,8.899676645,10.09463699,9.784002283,10.92234226,14.76323124,12.94871808,14.02061893,12.67605689,13.21739125,11.66290433,10.84175028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,16.76408651,17.22021108,16.3465445,16.45568476,17.53709497,17.94409861,17.38133028,18.60043515,19.7478509,20.05121556,17.1132468,19.1247415,19.24223088,22.39722994,30.46310128,24.46854771,24.60415073,29.63587373,25.6554271,28.54929464,32.6673872,13.97066742,12.89077718,13.65363462,17.04470547,17.84327279,16.55670299,20.2518266,18.97057901,27.38296569,25.41978769,26.10789406,25.74913047,23.3876517,25.377911,30.07196379,28.83446012,31.62158668,25.13102605,26.54098341,36.22983667,30.80387193,28.0290184,29.38291607,26.34135789,27.08235534,31.6634064,26.5733587,29.93516444,24.25739557,29.49345653,34.24875882,34.03441433,23.66671169,23.44055857,17.45909595,16.8792302,20.81650108,22.52088622,21.60609018,16.95875564,
Angola,AGO,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.68583119,75.38894373,57.0849959,54.32133738,58.38034553,65.52626777,63.4678635,67.90578337,72.47502847,58.75730302,61.54311272,60.66994844,55.94013141,50.74708439,44.69503125,29.75459949,28.12448456,29.00410005,40.83628989,39.3438257,37.78816665,
Albania,ALB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,23.95749191,23.81050666,20.07291791,18.85207514,18.04033143,16.82037257,15.60618013,16.02992184,16.97939413,18.59335346,15.40506383,7.484818725,12.49959149,15.97882981,11.98369435,12.6408295,11.62033323,10.19712728,11.46716626,16.84176296,20.11528555,21.33341083,20.94561617,20.84738645,22.21756076,23.01299115,25.20960773,28.24786542,25.30241812,25.24074861,27.97943524,29.24153714,28.93748776,28.91631514,28.21300146,27.26739115,28.97789918,31.56980805,31.57192721,31.30749783,23.11108952,
Andorra,AND,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.36724805,39.78568862,42.32133108,47.5496407,51.92283956,53.28555112,53.20376568,55.95797403,45.4249547,48.10247458,54.28817875,55.61723526,53.86974118,50.1716837,42.26010404,39.44425506,44.20231033,47.18708363,44.87488469,,
United Arab Emirates,ARE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.15922533,49.50334738,55.92319922,63.56772981,67.58531139,68.62779767,72.3840975,78.8678887,79.65331786,82.24241809,90.0765712,100.2464956,100.5477884,99.56083028,100.8704802,101.0030139,99.59493841,93.0481228,96.84353346,,
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,7.604049108,5.994946995,4.691842759,7.890454203,5.563715605,6.225874438,6.652917384,7.495596226,6.484453463,6.398713317,5.601566676,6.007232881,7.197765839,7.612667721,6.902570798,5.824051799,9.175388297,9.615892413,8.608389938,6.510915467,5.061972681,6.92104948,9.090493079,9.151520687,7.589895312,11.73609802,8.161977544,7.873205813,9.531612973,13.05840891,10.35953659,7.675043348,6.598187472,6.909351534,7.529948726,9.68041026,10.42859676,10.5608501,10.41558196,9.827174515,10.98637523,11.57900808,28.382597,25.93094293,23.84761942,23.24587673,23.0266946,22.66275031,22.06090038,19.56098506,18.93382341,18.44920915,16.23785946,14.61717339,14.40547859,10.70565205,12.52709517,11.32028336,14.43668575,17.69594407,16.59181663,
