Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,106.2062,102.8116,99.417,94.4542,89.4914,84.5286,79.5658,74.603,71.665,68.727,65.789,62.851,59.913,59.0044,58.0958,57.1872,56.2786,55.37,54.9542,54.5384,54.1226,53.7068,53.291,53.0288,52.7666,52.5044,52.2422,51.98,51.41,50.84,50.27,49.7,49.13,48.7648,48.3996,48.0344,47.6692,47.304,46.067,44.83,43.593,42.356,41.119,39.6676,38.2162,36.7648,35.3134,33.862,32.792,31.722,30.652,29.582,28.512,27.3444,26.1768,25.0092,23.8416,22.674,21.1736,19.6732,18.1728,
Africa Eastern and Southern,AFE,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,140.1205354,140.5945645,141.1281089,141.32344,141.5081601,141.6688964,141.8797044,141.9832254,142.0201678,142.010506,142.0334577,142.2797783,142.6293556,142.4697781,142.2904859,142.0539013,141.7306095,141.396423,140.7740868,140.1500943,139.5136931,138.8045542,138.0712441,137.0581425,136.0593395,135.0878502,134.1033813,133.152267,132.0121111,130.8690667,129.7174981,128.5621968,127.4003733,126.9698523,126.4953582,125.9727513,125.3986927,124.7720669,123.6573345,122.5605759,121.519841,120.546675,119.6458564,118.4469585,117.2880506,116.1466931,114.9874327,113.8271956,112.2014439,110.5309653,108.8135227,107.0526218,105.2561655,103.3914605,101.541782,99.71979866,97.91660103,96.14649227,94.69522337,93.23194363,91.74471235,
Afghanistan,AFG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,145.245,145.245,145.245,145.245,145.245,145.245,145.245,145.245,145.245,145.245,145.245,145.245,145.245,146.2136,147.1822,148.1508,149.1194,150.088,151.1966,152.3052,153.4138,154.5224,155.631,156.7438,157.8566,158.9694,160.0822,161.195,161.7418,162.2886,162.8354,163.3822,163.929,164.1888,164.4486,164.7084,164.9682,165.228,161.469,157.71,153.951,150.192,146.433,143.7648,141.0966,138.4284,135.7602,133.092,126.633,120.174,113.715,107.256,100.797,94.429,88.061,81.693,75.325,68.957,65.141,61.325,57.509,
Africa Western and Central,AFW,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,172.2905356,172.1326959,171.9435738,171.5712356,171.2559326,171.0215377,170.8464957,170.7350107,171.403048,172.0260848,172.5779323,173.0942277,173.5604902,173.7945918,174.0149443,174.2402601,174.4791818,174.7246376,173.7387294,172.7461479,171.7500175,170.7628134,169.783448,167.9039796,166.0259557,164.1493089,162.2586262,160.3694166,158.3179204,156.2666166,154.2199817,152.1572313,150.1001528,148.5758251,147.0633628,145.5641864,144.0515742,142.5567415,141.2751428,139.9922408,138.7063313,137.4091453,136.1123193,134.6784891,133.2595996,131.8647458,130.4681634,129.1015227,127.7116137,126.321891,124.9269803,123.5152975,122.1041792,120.2472585,118.3944586,116.5468515,114.6991463,112.8470457,111.0564055,109.2519228,107.4325753,
Angola,AGO,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,202.2,204.6,207,209.4,211.8,214.2,216.6,219,220.2,221.4,222.6,223.8,225,224.736,224.472,224.208,223.944,223.68,223.68,223.68,223.68,223.68,223.68,223.344,223.008,222.672,222.336,222,220.2,218.4,216.6,214.8,213,210.9,208.8,206.7,204.6,202.5,200.5664,198.6328,196.6992,194.7656,192.832,190.5114,188.1908,185.8702,183.5496,181.229,178.4632,175.6974,172.9316,170.1658,167.4,164.0252,160.6504,157.2756,153.9008,150.526,147.958,145.39,142.822,
Albania,ALB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,54.4408,56.1654,57.89,55.368,52.846,50.324,47.802,45.28,42.1176,38.9552,35.7928,32.6304,29.468,28.6554,27.8428,27.0302,26.2176,25.405,23.6676,21.9302,20.1928,18.4554,16.718,16.6428,16.5676,16.4924,16.4172,16.342,16.8202,17.2984,17.7766,18.2548,18.733,18.8524,18.9718,19.0912,19.2106,19.33,19.2324,19.1348,19.0372,18.9396,18.842,18.765,18.688,18.611,18.534,18.457,18.9116,19.3662,19.8208,20.2754,20.73,20.5124,20.2948,20.0772,19.8596,19.642,19.5724,19.5028,19.4332,
Andorra,AND,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,134.7723486,135.3438463,136.0302209,135.8980349,135.7218306,135.3875413,134.6611992,133.7789991,131.2987211,128.8522171,126.5337926,124.3183106,122.2711066,120.0121046,117.7347895,115.3772367,112.9284222,110.411387,106.5457106,102.7339633,99.00478159,95.38260267,91.80323705,88.88010138,85.93866831,82.97523639,79.94495407,76.9110294,74.84940979,72.81938876,71.13964561,69.06829548,67.33237901,65.34886541,63.37309629,61.23987932,59.26088996,57.2691505,56.25427823,55.28152201,54.34604818,53.30940511,52.29773889,51.89782413,51.53838504,51.21296389,50.83960202,50.51953589,50.30529057,50.11920443,49.96689708,49.86696767,49.79106685,49.34535918,48.85399796,48.27973787,47.50473939,46.68711926,46.00272258,45.24536866,44.40661104,
United Arab Emirates,ARE,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,176.9534,176.4412,175.929,175.4168,174.9046,174.3924,173.8802,173.368,171.729,170.09,168.451,166.812,165.173,161.5878,158.0026,154.4174,150.8322,147.247,141.4758,135.7046,129.9334,124.1622,118.391,109.7458,101.1006,92.4554,83.8102,75.165,68.5864,62.0078,55.4292,48.8506,42.272,39.3358,36.3996,33.4634,30.5272,27.591,27.1906,26.7902,26.3898,25.9894,25.589,26.4506,27.3122,28.1738,29.0354,29.897,27.2716,24.6462,22.0208,19.3954,16.77,14.7252,12.6804,10.6356,8.5908,6.546,5.8868,5.2276,4.5684,
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,61.388,61.248,61.108,60.9702,60.8324,60.6946,60.5568,60.419,62.0152,63.6114,65.2076,66.8038,68.4,71.3242,74.2484,77.1726,80.0968,83.021,81.257,79.493,77.729,75.965,74.201,74.0408,73.8806,73.7204,73.5602,73.4,73.431,73.462,73.493,73.524,73.555,72.8042,72.0534,71.3026,70.5518,69.801,68.6524,67.5038,66.3552,65.2066,64.058,63.834,63.61,63.386,63.162,62.938,63.0638,63.1896,63.3154,63.4412,63.567,63.41,63.253,63.096,62.939,62.782,62.5654,62.3488,62.1322,
