Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.6191177,97.14286041,94.40406799,94.75524139,90.21591949,90.55989838,88.19796753,93.18611908,95.58824158,95.13303375,96.2425766,94.78610229,,,96.57064056,101.1805573,,,,,,,
Africa Eastern and Southern,AFE,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,16.65699959,,,17.88076019,19.65283966,,26.37323952,32.70611954,,,17.89102936,18.57060051,,,,,,,,27.57517052,,,,,,,,,,,,,,,,,,,,,,,80.49504089,84.41494751,85.62532806,84.33058929,,
Africa Western and Central,AFW,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,42.94057083,37.20602036,,,,,,,,,29.20000076,,,,,,,,,,,,,,,,,39.19701004,38.78757858,39.80720901,46.18714905,,,,,,,,,,
Albania,ALB,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.58609009,,,,96.58268738,96.39394379,,94.44817352,93.43779755,,,96.19241333,92.39359283,91.05149078,88.83624268,92.98265839,98.67212677,89.53917694,100.9847183,98.86158752,99.88155365,101.9837036,101.5378571,103.3227463,100.7324066,
Andorra,AND,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,49.1357193,49.05432129,48.69493103,50.20529175,51.69678879,54.69984055,56.30582047,58.36880112,57.7227211,53.49642944,56.54579926,59.97714996,60.72071075,61.8922081,64.25215912,68.30731201,67.36876678,67.27323914,67.73191833,67.91990662,69.26254272,69.28807068,70.07372284,70.30445099,71.16400909,72.20207214,73.25231934,74.11203003,75.12400818,76.00340271,75.54741669,76.56347656,77.41953278,79.82804108,81.66796875,82.69515228,80.90484619,82.70838165,84.57465363,82.89109802,84.36582947,85.1756897,87.03526306,85.06060791,85.99526978,84.90283966,84.34924316,84.49780273,85.40995789,86.52622986,87.33290863,
United Arab Emirates,ARE,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,39.54042816,41.73529053,49.50407028,56.75738144,60.69887161,65.70791626,68.13439178,72.32185364,81.88111877,81.2938385,78.24465942,74.31791687,75.94766998,76.38062286,74.71659088,82.19580078,91.06539917,97.51193237,95.89749908,93.302948,91.96444702,89.86238098,85.7958374,87.8336792,85.29476929,83.75656128,80.28414154,76.57745361,80.73298645,,,,,97.45088959,,,,,93.94155884,95.68698883,99.14914703,103.5202026,,,,111.9388199,104.7111969,
Argentina,ARG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,70.97234344,71.83389282,,,75.5764389,78.91168976,78.63954163,,,,,,,,,,,,,,,,,,98.57759857,,92.96325684,91.52876282,99.15171814,97.20204163,97.34647369,96.8216629,100.515831,98.16793823,96.57994843,94.64183044,97.10247803,99.86782074,103.1421738,103.3038712,103.5674133,103.8877106,103.3522491,101.6450119,103.1064377,102.9737396,103.8935699,99.96276093,98.70625305,98.54724121,,
