Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10360,11760,12230,13190,13990,14620,15640,16230,16370,17220,17620,17880,20000,19170,17890,20070,22630,19200,23340,21680,25510,23770,22380,22450,23520,24510,25350,26560,26840,27120,,,,
Africa Eastern and Southern,AFE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,599.4826089,569.7835253,512.9660928,519.1450582,591.6617466,668.6272259,692.917376,673.3263445,678.3645377,664.8248866,678.0379069,685.5832133,733.6183967,748.9372172,750.4650959,693.2625105,672.0830206,666.8698258,639.798492,624.4886387,674.6233604,821.0649869,1027.768458,1156.459944,1267.682613,1353.583286,1368.658946,1436.909102,1563.676371,1669.134226,1697.844163,1677.094818,1579.434512,1475.405527,1441.531746,1494.710171,1535.776856,1406.289007,
Afghanistan,AFG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,510,530,630,650,630,590,550,530,510,520,500,
Africa Western and Central,AFW,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,113.6827747,122.1515627,128.2104268,133.1548588,136.0760733,128.7928326,130.4172197,143.0337523,170.4647299,179.0027356,192.9073473,216.2948094,300.8374128,358.2145986,422.6386569,455.2310223,478.736283,558.9149508,646.0210276,762.9467899,876.4738665,925.1852684,757.9089771,685.7663048,623.0209245,614.8552077,630.1426696,563.5661029,556.0650019,541.6150776,552.7062132,471.9322084,416.3005397,407.9330655,427.1004089,465.5820776,463.5781331,465.941051,456.0751822,480.2458283,525.0268915,587.682867,714.611721,844.7126323,1032.373202,1199.465861,1446.554278,1518.444238,1575.796473,1605.67305,1774.034998,1931.807956,2061.522937,2005.476912,1782.15399,1611.489483,1611.86562,1669.153323,1654.42566,
Angola,AGO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,590,680,660,650,850,780,900,330,290,180,370,360,450,410,330,360,390,590,710,1010,1370,1810,2460,3030,3170,3230,3410,4170,4780,5010,4520,3770,3450,3210,2970,2140,
Albania,ALB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,700,730,730,760,650,410,280,320,380,640,890,800,860,950,1100,1280,1370,1650,2100,2620,3050,3460,4040,4280,4360,4410,4360,4540,4540,4390,4320,4290,4860,5230,5210,
Andorra,AND,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,2937.615532,2565.668823,2523.795067,2488.724657,2656.407412,2733.452855,2775.722642,2640.842611,3004.2466,2192.530315,2236.744154,2139.62043,2131.654529,2184.601361,2314.726164,2423.569168,2438.872773,2455.149369,2614.494074,2726.045211,2689.050682,2869.313152,3328.059794,3790.781428,4374.378847,5021.808264,5882.161818,5999.434296,6275.787261,6229.713069,6954.338947,7359.842857,7381.678551,6880.226744,6415.155407,5940.74012,6171.011768,6419.081239,5932.74187,
United Arab Emirates,ARE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31400,31970,30940,32780,36160,37500,39380,39590,39910,35000,33400,35030,39220,42840,44370,42870,40550,39280,41470,43830,39410,
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,1120,1230,1350,1240,1210,1300,1320,1470,1470,1820,2470,2720,2360,2220,2190,2630,2910,2820,2670,2870,2830,2700,3020,3590,3960,2930,3190,3860,6070,7120,7620,7360,7740,8150,8030,7580,7470,7000,4040,3650,3370,4260,5480,6510,7670,7790,9270,10710,11870,12840,12330,12590,12220,13140,12430,11250,9070,
